
Time:1714068726.2060125 CPU Usage: 0.0% | Memory Usage: 55.1% | Disk Usage: 72.8%
Time:1714068786.2115724 CPU Usage: 5.9% | Memory Usage: 54.7% | Disk Usage: 72.8%
Time:1714068846.2183154 CPU Usage: 5.9% | Memory Usage: 54.7% | Disk Usage: 72.8%
Time:1714068906.2228074 CPU Usage: 4.6% | Memory Usage: 54.6% | Disk Usage: 72.8%
Time:1714068966.2286687 CPU Usage: 6.3% | Memory Usage: 54.8% | Disk Usage: 72.8%
Time:1714069026.2344115 CPU Usage: 6.4% | Memory Usage: 53.9% | Disk Usage: 72.8%
Time:1714069086.240135 CPU Usage: 5.1% | Memory Usage: 54.1% | Disk Usage: 72.8%
Time:1714069146.2451108 CPU Usage: 6.9% | Memory Usage: 53.7% | Disk Usage: 72.8%
Time:1714069206.2505836 CPU Usage: 4.8% | Memory Usage: 54.1% | Disk Usage: 72.8%
Time:1714069266.2576437 CPU Usage: 3.0% | Memory Usage: 54.3% | Disk Usage: 72.8%
Time:1714069326.26276 CPU Usage: 4.8% | Memory Usage: 54.0% | Disk Usage: 72.8%
Time:1714069386.2683809 CPU Usage: 2.3% | Memory Usage: 54.0% | Disk Usage: 72.8%
Time:1714069446.2735205 CPU Usage: 3.3% | Memory Usage: 53.7% | Disk Usage: 72.8%
Time:1714069506.2785108 CPU Usage: 2.4% | Memory Usage: 53.0% | Disk Usage: 72.8%
Time:1714069566.2849617 CPU Usage: 2.3% | Memory Usage: 53.2% | Disk Usage: 72.8%
Time:1714069626.2915485 CPU Usage: 3.3% | Memory Usage: 52.9% | Disk Usage: 72.8%
Time:1714069686.2982092 CPU Usage: 2.5% | Memory Usage: 52.4% | Disk Usage: 72.8%
Time:1714069746.3043811 CPU Usage: 2.2% | Memory Usage: 52.3% | Disk Usage: 72.8%
Time:1714069806.3093588 CPU Usage: 3.1% | Memory Usage: 52.4% | Disk Usage: 72.8%
Time:1714069866.3161736 CPU Usage: 2.1% | Memory Usage: 52.5% | Disk Usage: 72.8%
Time:1714069926.3222919 CPU Usage: 2.7% | Memory Usage: 52.3% | Disk Usage: 72.8%
Time:1714069986.3265648 CPU Usage: 3.3% | Memory Usage: 52.2% | Disk Usage: 72.8%
Time:1714070046.332742 CPU Usage: 2.3% | Memory Usage: 52.3% | Disk Usage: 72.8%
Time:1714070106.338631 CPU Usage: 2.8% | Memory Usage: 52.2% | Disk Usage: 72.8%
Time:1714070166.345277 CPU Usage: 2.5% | Memory Usage: 52.3% | Disk Usage: 72.8%
Time:1714070226.3504686 CPU Usage: 4.7% | Memory Usage: 52.8% | Disk Usage: 72.8%
Time:1714070286.3562992 CPU Usage: 3.4% | Memory Usage: 52.6% | Disk Usage: 72.8%
Time:1714070346.3611422 CPU Usage: 2.2% | Memory Usage: 52.6% | Disk Usage: 72.8%
Time:1714070406.3661811 CPU Usage: 2.7% | Memory Usage: 52.6% | Disk Usage: 72.8%
Time:1714070466.371186 CPU Usage: 3.2% | Memory Usage: 52.8% | Disk Usage: 72.8%
Time:1714070526.3762295 CPU Usage: 3.1% | Memory Usage: 53.2% | Disk Usage: 72.8%
Time:1714070586.380985 CPU Usage: 3.4% | Memory Usage: 53.1% | Disk Usage: 72.8%
Time:1714070646.3858178 CPU Usage: 2.5% | Memory Usage: 52.9% | Disk Usage: 72.8%
Time:1714070706.3906589 CPU Usage: 2.6% | Memory Usage: 53.5% | Disk Usage: 72.8%
Time:1714070766.3956032 CPU Usage: 3.3% | Memory Usage: 53.4% | Disk Usage: 72.8%
Time:1714070826.4013066 CPU Usage: 2.7% | Memory Usage: 52.4% | Disk Usage: 72.8%
Time:1714070886.4101014 CPU Usage: 2.5% | Memory Usage: 52.5% | Disk Usage: 72.8%
Time:1714070946.4145331 CPU Usage: 3.2% | Memory Usage: 52.4% | Disk Usage: 72.8%
Time:1714071006.419487 CPU Usage: 3.0% | Memory Usage: 52.7% | Disk Usage: 72.8%
Time:1714071066.4251506 CPU Usage: 5.6% | Memory Usage: 53.6% | Disk Usage: 72.8%
Time:1714071126.4312074 CPU Usage: 3.3% | Memory Usage: 53.4% | Disk Usage: 72.8%
Time:1714071186.4355507 CPU Usage: 2.5% | Memory Usage: 53.3% | Disk Usage: 72.8%
Time:1714071246.44043 CPU Usage: 2.1% | Memory Usage: 53.2% | Disk Usage: 72.8%
Time:1714071306.4461012 CPU Usage: 3.3% | Memory Usage: 53.7% | Disk Usage: 72.8%
